id,symbol,name,usd,usd_market_cap,usd_24h_vol,usd_24h_change,last_updated_at,rank,coinGecko_link
celeum,clx,Celeum,0,0,185,55,2020/12/20,3027,https://www.coingecko.com/en/coins/celeum
celo-gold,celo,Celo,1,0,1621642,-1,2020/12/31,3028,https://www.coingecko.com/en/coins/celo-gold
cenfura-token,xcf,Cenfura Token,0,0,77835,-3,2020/12/31,3029,https://www.coingecko.com/en/coins/cenfura-token
centauri-coin,ctx,Centauri Coin,0,0,1451,,2020/12/25,3030,https://www.coingecko.com/en/coins/centauri-coin
centercoin,cent,CENTERCOIN,0,0,20369,-9,2020/12/31,3031,https://www.coingecko.com/en/coins/centercoin
centex,cntx,CENTEX,0,0,648,4,2020/12/31,3032,https://www.coingecko.com/en/coins/centex
centrality,cennz,Centrality,0,0,1914116,-8,2020/12/31,3033,https://www.coingecko.com/en/coins/centrality
centurion,cnt,Centurion,0,0,1,0,2020/12/31,3034,https://www.coingecko.com/en/coins/centurion
cerium,xce,Cerium,0,0,11,,2020/12/30,3035,https://www.coingecko.com/en/coins/cerium
certurium,crt,Certurium,27,0,248812,-2,2020/12/31,3036,https://www.coingecko.com/en/coins/certurium
cexlt,clt,Cexlt,0,0,49851,-3,2020/12/31,3037,https://www.coingecko.com/en/coins/cexlt
cezo,cez,Cezo,0,0,1714,-19,2020/12/31,3038,https://www.coingecko.com/en/coins/cezo
chad-link-set,chadlink,Chad Link Set,232,0,112,,2020/12/29,3039,https://www.coingecko.com/en/coins/chad-link-set
chain-finance,cfc,Chain Finance,0,0,96,,2020/11/17,3040,https://www.coingecko.com/en/coins/chain-finance
chainlink-trading-set,cts,ChainLink Trading Set,446,0,26,,2020/12/30,3041,https://www.coingecko.com/en/coins/chainlink-trading-set
chainpay,cpay,Chainpay,1,0,24,-24,2020/12/31,3042,https://www.coingecko.com/en/coins/chainpay
chalice-finance,chal,Chalice Finance,16,0,13708,-11,2020/12/31,3043,https://www.coingecko.com/en/coins/chalice-finance
challenge,clg,CHALLENGE,0,0,2,,2020/11/25,3044,https://www.coingecko.com/en/coins/challenge
changenow-token,now,Now Token,0,0,100,0,2020/12/31,3045,https://www.coingecko.com/en/coins/changenow-token
charity,chrt,Charity,0,0,6,-3,2020/12/31,3046,https://www.coingecko.com/en/coins/charity
charity-alfa,mich,Charity Alfa,0,0,0,0,2020/12/31,3047,https://www.coingecko.com/en/coins/charity-alfa
chars,chars,CHARS,0,0,12,,2020/12/29,3048,https://www.coingecko.com/en/coins/chars
chaucha,cha,Chaucha,0,0,43,1,2020/12/31,3049,https://www.coingecko.com/en/coins/chaucha
chbt,chbt,CHBT,0,0,0,,2020/12/28,3050,https://www.coingecko.com/en/coins/chbt
cherry-token,yt,Cherry Token,0,0,41,,2020/12/24,3051,https://www.coingecko.com/en/coins/cherry-token
chesscoin-0-32,chess,ChessCoin 0.32%,0,0,34,-4,2020/12/31,3052,https://www.coingecko.com/en/coins/chesscoin-0-32
chex-token,chex,CHEX Token,0,0,47,-5,2020/12/31,3053,https://www.coingecko.com/en/coins/chex-token
chicken,kfc,Chicken,11,0,179172,0,2020/12/31,3054,https://www.coingecko.com/en/coins/chicken
chinese-shopping-platform,cspc,Chinese Shopping Platform,0,0,18012,-2,2020/12/31,3055,https://www.coingecko.com/en/coins/chinese-shopping-platform
chronocoin,crn,ChronoCoin,0,0,4,0,2020/12/31,3056,https://www.coingecko.com/en/coins/chronocoin
chronologic,day,Chronologic,0,0,8,-12,2020/12/31,3057,https://www.coingecko.com/en/coins/chronologic
chunghoptoken,chc,ChunghopToken,0,0,789771,0,2020/12/31,3058,https://www.coingecko.com/en/coins/chunghoptoken
cifculation,clc,Cifculation,0,0,137833,-7,2020/12/31,3059,https://www.coingecko.com/en/coins/cifculation
cine-media-celebrity-coin,cmccoin,CINE MEDIA CELEBRITY COIN,0,0,18,277,2020/12/31,3060,https://www.coingecko.com/en/coins/cine-media-celebrity-coin
cipher-core-token,ciphc,Cipher Core Token,55,0,9582,,2020/12/30,3061,https://www.coingecko.com/en/coins/cipher-core-token
